placeholder,type,name,met
"pl","Fishing & Hunting","Foraging, 0-9.9kg backpack",2.8,
"pl","Fishing & Hunting","Foraging, 10-15kg backpack",3.0,
"pl","Fishing & Hunting","Sitting in boat, passenger",1.0,
"pl","Fishing & Hunting","Standing in boat",1.5,
"pl","Fishing & Hunting","Activities in a boat, lifting, lowering",3.3,
"pl","Miscellaneous","Board game playing, sitting",1.3,
"pl","Miscellaneous","Casino gambling, standing",2.5,
"pl","Miscellaneous","Card playing, sitting",1.5,
"pl","Miscellaneous","Chess game, sitting",1.5,
"pl","Miscellaneous","Copying or filing documents, standing",1.5,
"pl","Miscellaneous","Drawing, writing, painting, standing",1.8,
"pl","Miscellaneous","Laughter, sitting",1.0,
"pl","Miscellaneous","Sitting: reading, book, newspaper, magazine",1.0,
"pl","Miscellaneous","sitting, typing or reading on a balance chair/stability ball",1.8,
"pl","Miscellaneous","watching tv, stepping during commercial breaks",2.0,
"pl","Miscellaneous","Sitting: writing, desk work, typing",1.3,
"pl","Miscellaneous","Standing:  talking in person, on the phone, computer, text messaging, writing",1.3,
"pl","Miscellaneous","Sitting: talking in person, on the phone, computer, or  text messaging, light effort",1.3,
"pl","Miscellaneous","Sitting - studying, general, including reading and/or writing, light effort",1.5,
"pl","Miscellaneous","Sitting - in class, general, including note-taking or class discussion",1.8,
"pl","Miscellaneous","Standing - reading",1.0,
"pl","Miscellaneous","Standing: miscellaneous",2.5,
"pl","Miscellaneous","Sitting: arts and crafts, carving wood, weaving, spinning wool, light effort",1.8,
"pl","Miscellaneous","Sitting: arts and crafts, carving wood, weaving, spinning wool, moderate effort",3.0,
"pl","Miscellaneous","Standing: arts and crafts, sand painting, carving, weaving, light effort",2.5,
"pl","Miscellaneous","Standing - arts and crafts, sand painting, carving, weaving, moderate effort",3.3,
"pl","Miscellaneous","Standing - arts and crafts, sand painting, carving, weaving, vigorous effort",3.5,
"pl","Miscellaneous","Retreat/family reunion activities involving sitting, relaxing, talking, eating",1.5,
"pl","Miscellaneous","Retreat/family reunion activities involving playing games with children",2.5,
"pl","Miscellaneous","Touring/traveling/vacation involving  riding in vehicle",2.0,
"pl","Miscellaneous","Touring/traveling/vacation involving walking",3.5,
"pl","Miscellaneous","Camping involving standing, walking, sitting, light-to-moderate effort",2.5,
"pl","Miscellaneous","Sitting at a sporting event, spectator",1.5,
"pl","Running","Jog/walk combination (jogging component of less than 10 minutes) (Taylor Code 180)",6.0,
"pl","Running","Jogging, general, self-selected pace",7.5,
"pl","Running","Jogging, in place",4.8,
"pl","Running","Jogging 2.6 to 3.7 mph",3.3,
"pl","Running","Jogging on a mini-tramp",4.5,
"pl","Running","Running, 4 to 4.2 mph (13 min/mile)",6.5,
"pl","Running","Running 4.3 to 4.8 mph",7.8,
"pl","Running","Running, 5.0 to 5.2 mph (12 min/mile)",8.5,
"pl","Running","Running, 5.5 -5.8 mph ",9.0,
"pl","Running","Running, 6-6.3 mph (10 min/mile)",9.3,
"pl","Running","Running, 6.7 mph (9 min/mile)",10.5,
"pl","Running","Running, 7 mph (8.5 min/mile)",11.0,
"pl","Running","Running, 7.5 mph (8 min/mile)",11.8,
"pl","Running","Running, 8 mph (7.5 min/mile)",12.0,
"pl","Running","Running, 8.6 mph (7 min/mile)",12.5,
"pl","Running","Running, 9 mph (6.5 min/mile)",13.0,
"pl","Running","Running, 9.3 to 9.6 mph",14.8,
"pl","Running","Running, 10 mph (6 min/mile)",14.8,
"pl","Running","Running, 11 mph (5.5 min/mile)",16.8,
"pl","Running","Running, 12 mph (5.0 min/mile)",18.5,
"pl","Running","Running, 13 mph (4.6 min/mile)",19.8,
"pl","Running","Running, 14 mph (4.3 min/mile)",23.0,
"pl","Running","Running, cross country",9.3,
"pl","Running","Running, self-selected pace",10.5,
"pl","Running","Running (Taylor Code 200)",8.0,
"pl","Running","Running, stairs, up",15.0,
"pl","Running","Running, on a track, team practice",10.0,
"pl","Running","Running, on track, 500-1500m, competitive",18.0,
"pl","Running","Running, on track, 2000-3000m, competitive",19.3,
"pl","Running","Running, training, pushing a wheelchair or baby carrier",8.0,
